,Issuer Name,Instrument Value (USD),Instrument Holder,Issuer Country,Issuer Sector
97,OLAM INTERNATIONAL LTD,747776879,Unknown,SG,Palm Oil
98,SIME DARBY PLANTATION BHD. OF MALAYSIA,398814335.3,Unknown,MY,Palm Oil
99,SIME DARBY PLANTATION BHD. OF MALAYSIA,398814335.3,Unknown,MY,Palm Oil
100,FIRST RESOURCES,98205943.53,Unknown,SG,Palm Oil
101,GOLDEN AGRI-RESOURCES LTD,371863183.5,Unknown,SG,Palm Oil
102,OLAM INTERNATIONAL LTD,370287395.3,Unknown,SG,Palm Oil
103,GOLDEN AGRI-RESOURCES LTD,403050108.7,Unknown,SG,Palm Oil
104,OLAM INTERNATIONAL LTD,498517919.7,Unknown,SG,Palm Oil
105,OLAM INTERNATIONAL LTD,185143697.6,Unknown,SG,Palm Oil
106,KUALA LUMPUR KEPONG (KLK),245514858.3,Unknown,MY,Palm Oil
107,FIRST RESOURCES,147308914.7,Unknown,SG,Palm Oil
108,OLAM INTERNATIONAL LTD,259201176,Unknown,SG,Palm Oil
109,GOLDEN AGRI-RESOURCES LTD,7409009.13,Unknown,SG,Palm Oil
110,GOLDEN AGRI-RESOURCES LTD,66681084.39,Unknown,SG,Palm Oil
111,SINAR MAS AGRO RESOURCES AND TECHNOLOGY TBK PT,96309000,Unknown,ID,Palm Oil
112,MINERVA SA,107165820.2,Unknown,BR,Cattle / Dairy
113,FGV HOLDINGS,15958465.56,Unknown,MY,Palm Oil
114,FGV HOLDINGS,8593019.49,Unknown,MY,Palm Oil
115,MINERVA SA,100171464.9,Unknown,BR,Cattle / Dairy
116,OLAM INTERNATIONAL LTD,203658067,Unknown,SG,Palm Oil
117,MINERVA SA,450771590.5,Unknown,BR,Cattle / Dairy
118,WILMAR INTERNATIONAL LTD,74232008.13,Unknown,SG,Palm Oil
119,WILMAR INTERNATIONAL LTD,185580019.8,Unknown,SG,Palm Oil
120,WILMAR INTERNATIONAL LTD,270688000,Unknown,SG,Palm Oil
121,KUALA LUMPUR KEPONG (KLK),73654457.37,Unknown,MY,Palm Oil
122,WILMAR INTERNATIONAL LTD,40903041.57,Unknown,SG,Palm Oil
123,WILMAR INTERNATIONAL LTD,0,Unknown,SG,Palm Oil
124,OLAM INTERNATIONAL LTD,185143697.6,Unknown,SG,Palm Oil
125,MINERVA SA,47629253.07,Unknown,BR,Cattle / Dairy
126,OLAM INTERNATIONAL LTD,74057479.5,Unknown,SG,Palm Oil
127,OLAM INTERNATIONAL LTD,111086218.1,Unknown,SG,Palm Oil
128,OLAM INTERNATIONAL LTD,37028739.75,Unknown,SG,Palm Oil
129,WILMAR INTERNATIONAL LTD,164923066.3,Unknown,SG,Palm Oil
130,EAGLE HIGH PLANTATIONS TBK PT,51073918.29,Unknown,ID,Palm Oil
131,OLAM INTERNATIONAL LTD,249258959.3,Unknown,SG,Palm Oil
132,MINERVA SA,47629253.07,Unknown,BR,Cattle / Dairy
133,OLAM INTERNATIONAL LTD,25521395.28,Unknown,SG,Palm Oil
134,OLAM INTERNATIONAL LTD,185143697.6,Unknown,SG,Palm Oil
135,MINERVA SA,372694946.4,Unknown,BR,Cattle / Dairy
