,0
185,"UBS Asset Management (Americas), Inc."
186,BNY Mellon Asset Management Japan Limited
187,"Sumitomo Mitsui DS Asset Management Company, Limited"
188,"Samsung Asset Management Co., Ltd."
189,Principal Asset Management Berhad
190,Libra Invest Berhad
191,RHB Asset Management Sdn. Bhd.
192,Eastspring Investments (Singapore) Limited
193,Nordea Funds Oy
194,Macquarie Investment Management Korea Ltd.
195,GIC Private Limited
196,State Street Global Advisors Australia Ltd.
197,"Royce & Associates, LP"
198,Edmond De Rothschild Asset Management (Luxembourg)
199,ARVEST Funds AG
200,NN Investment Partners (Singapore) Ltd.
201,HSBC Global Asset Management (UK) Limited
202,BNP Paribas Asset Management Belgium S.A.
203,Allianz Global Investors Asia Pacific Limited
204,DWS Investments Hong Kong Limited
205,Valuecap Sdn. Bhd.
206,HAC Verm__gensManagement AG
207,Voya Investment Management LLC
208,Danske Invest Management Company S.A.
209,BNP Paribas Asset Management France SAS
210,LLB Asset Management AG
211,UBS Asset Management (Australia) Ltd.
212,"Resona Bank, Ltd."
213,Allianz Global Investors U.S. LLC
214,Legg Mason Investments (Europe) Limited
215,Comgest S.A.
216,Kerajaan Negeri Pahang
217,British Columbia Investment Management Corp.
218,Koperasi Permodalan Felda Malaysia Berhad
219,HSBC Global Asset Management (Hong Kong) Limited
220,BBVA Asset Management Continental S.A. SAF
221,Morgan Stanley Investment Management Ltd. (UK)
222,"Hanwha Asset Management Co., Ltd."
223,MIDF Amanah Asset Management Berhad
224,AZ FUND Management SA
225,"BPI Gestao de Activos - S.G.F.I.M., S.A."
226,Jyske Invest Fund Management A/S
227,Kerry Group Ltd.
228,"Okasan Asset Management Co., Ltd."
229,VDQ Holdings S.A.
230,ReAssure Limited
231,Sjunde AP-fonden
232,Bice Inversiones Administradora General de Fondos S.A.
233,"NH-Amundi Asset Management Co., Ltd."
234,Henderson Rowe Limited
235,Guardian Capital LP
236,Aberdeen Asset Managers Ltd.
237,Northern Trust Global Investments Limited
238,Northern Trust Global Investments
239,Swiss Life Asset Management
240,AXA Investment Managers UK Ltd.
241,Allianz Global Investors GmbH
242,Investitori SGR S.p.A.
243,Eurizon Capital S.A.
244,"J.P. Morgan Investment Management, Inc. (SI)"
245,Pheim Asset Management Sdn. Bhd.
246,BlackRock Investment Management (UK) Ltd.
247,BNP Paribas Asset Management UK Limited
248,AMF Pensionsf__rs__kring AB
249,"DWS Investment Management Americas, Inc."
250,Employees Provident Fund Board
251,BNP Paribas Asset Management Asia Limited
252,River and Mercantile Asset Management LLP
253,Banque de Luxembourg Investments
254,"Mirae Asset Global Investments Co., Ltd."
255,AXA Rosenberg Investment Management Asia Pacific Ltd.
256,i-VCAP Management Sdn. Bhd.
257,BB Gestao de Recursos - DTVM S.A.
258,Highstreet Asset Management Inc.
259,"Oaktree Capital Management, L.P."
260,Goldman Sachs Asset Management International
261,Wells Capital Management Inc.
262,Anima SGR S.p.A.
263,NNIP Asset Management B.V.
264,Raiffeisen Kapitalanlage-Gesellschaft mbH
265,Desjardins Global Asset Management
266,AllianceBernstein L.P.
267,Pramerica SGR S.p.A.
268,Edmond de Rothschild (Europe)
269,StarCapital AG
270,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd."
271,UBS Asset Management (UK) Ltd.
272,Permodalan BSN Bhd.
273,MFS Investment Management Canada Limited
274,JP Morgan Asset Management
275,PineBridge Investments Singapore Limited
276,Schroder Investment Management Ltd. (SIM)
277,Planner CV S.A.
278,Kuok (Singapore) Limited
279,Waverton Investment Management Ltd.
280,Swisscanto Fondsleitung AG
281,AIA Bhd.
282,BTG Pactual Chile S.A. Administradora General de Fondos
283,"Cathay Securities Investment Trust Co., Ltd."
284,City of London Investment Management Co. Ltd.
285,DFA Australia Ltd.
286,IST Investmentstiftung
287,Interfondos S.A. Sociedad Administradora de Fondos
288,Marlborough Fund Managers Ltd.
289,State Street Global Advisors Singapore Ltd.
290,AmFunds Management Berhad
291,Macquarie Investment Management
292,PMB Investment Berhad
293,Nykredit Bank AS
294,INTECH Investment Management LLC
295,Fidelity Management & Research Company
296,Eurizon Capital SGR S.p.A.
297,"Charles Schwab Investment Management, Inc."
298,Degroof Petercam Asset Services SA
299,MLC Asset Management
300,Amundi Hong Kong Limited
301,Kenanga Islamic Investors Berhad
302,UBS Deutschland AG
303,First State Investments (HK) Ltd.
304,BlackRock International Ltd.
305,Templeton Asset Management Ltd.
306,Caisse de Depot et Placement du Quebec
307,First State Investments (U.K.) Ltd
308,LGM Investments Limited
309,Orbis Investment Management Ltd.
310,Union Bancaire Priv__e
311,"Neuberger Berman, LLC"
312,Banco BTG Pactual SA
313,Lembaga Tabung Angkatan Tentera
314,ID-Sparinvest A/S
315,JPMorgan Asset Management U.K. Limited
316,Western Asset Management Co.
317,MFS International (U.K.) Limited
318,First State Investments (Singapore)
319,DWS Investments Singapore Limited
320,Candriam S.A. (France)
321,ACTIAM N.V.
322,Nikko Asset Management Asia Limited
323,Manulife Investment Management (Hong Kong) Limited
324,FIL Investment Management (Hong Kong) Limited
325,"BNP Paribas Asset Management USA, Inc."
326,INVESCO Asset Management (Japan) Ltd.
327,"Kiwoom Asset Management Co., Ltd."
328,Capital Investment Trust Corporation
329,"Caixa Gest__o de Ativos Sociedade Gestora de Fundos de Investimento, S.A."
330,"EDM Gesti__n S.A., S.G.I.I.C."
331,Schroder Investment Management North America Inc.
332,"Renta 4 Gestora, S.G.I.I.C., S.A."
